,f1-score,f1-score_2,f1-score_3,best
related,0.7546040169053645,0.753128017282318,0.8211592696923834,f1-score_3
request,0.8914958705725093,0.8871888018549897,0.9074372857582369,f1-score_3
offer,0.9945685052210738,0.9945685052210738,0.9945685052210738,f1-score
aid_related,0.7737995261403584,0.7843035807296128,0.7833465028627615,f1-score_2
medical_help,0.8900719551890309,0.8909497708776299,0.9136895934418057,f1-score_3
medical_products,0.936002513834372,0.9348299107626205,0.9523282443504935,f1-score_3
search_and_rescue,0.962766824181196,0.9614303062373645,0.9672520200559538,f1-score_3
security,0.9757527184590667,0.9757527184590667,0.9757527184590667,f1-score
military,0.9557679980739175,0.9567812039207919,0.9645680223244967,f1-score_3
child_alone,1.0,1.0,1.0,f1-score
water,0.9314826194189952,0.9318931309613954,0.9578836743570447,f1-score_3
food,0.9121554373409233,0.9173639944353336,0.948108481157746,f1-score_3
shelter,0.9127280005915938,0.9127280005915938,0.9418340875718814,f1-score_3
clothing,0.9783432174764537,0.9792077835052082,0.9855068304847314,f1-score_3
money,0.9666426533820621,0.9670989348602578,0.9706941758179998,f1-score_3
missing_people,0.9822052472438525,0.9822052472438525,0.985605284364444,f1-score_3
refugees,0.9553119687747118,0.9553119687747118,0.9634829317767155,f1-score_3
death,0.9438725066906803,0.9433503904738493,0.963906514449438,f1-score_3
other_aid,0.8159452373892988,0.8150837260852805,0.8491678074374003,f1-score_3
infrastructure_related,0.9107258977249458,0.9109165226149887,0.9154412113634085,f1-score_3
transport,0.9302951359060132,0.93318614147458,0.9419687189672292,f1-score_3
buildings,0.9349553140810839,0.9354906612902927,0.9533870876027241,f1-score_3
electricity,0.9695921129791051,0.9702540668607081,0.9741808345168393,f1-score_3
tools,0.9894289656988506,0.9894289656988506,0.9894289656988506,f1-score
hospitals,0.9857207770294218,0.9857207770294218,0.9858882422776264,f1-score_3
shops,0.9922835323617831,0.9922835323617831,0.9922835323617831,f1-score
aid_centers,0.9810657805254616,0.9810657805254616,0.9811611329141355,f1-score_3
other_infrastructure,0.9411830226534753,0.9412783778088429,0.9430830808965274,f1-score_3
weather_related,0.8523701360581837,0.862074990019828,0.8745062223687982,f1-score_3
floods,0.9267422893789086,0.9319615349292869,0.9441798754808703,f1-score_3
storm,0.923588867942332,0.9236918179041198,0.9373866639067079,f1-score_3
fire,0.9858017295113038,0.9858017295113038,0.9890605874264023,f1-score_3
earthquake,0.9616138975842695,0.9640054915482371,0.9606311300796394,f1-score_2
cold,0.9730015426967663,0.974092389456493,0.9777174562601687,f1-score_3
other_weather,0.9242672590682375,0.9233480928691719,0.9326584650764665,f1-score_3
direct_report,0.8455129738213781,0.8475200209072803,0.8687844670206483,f1-score_3
